symbol,source_timestamp,source_timestamp_utc,session_date,boundary_status,action_type,amount,numerator,denominator,split_ratio,raw_event_json
IWM,1080311400,2004-03-26T14:30:00+00:00,2004-03-26,IN_SCOPE,DIVIDEND,0.1045,,,,"{""amount"":0.1045,""date"":1080311400}"
IWM,1088170200,2004-06-25T13:30:00+00:00,2004-06-25,IN_SCOPE,DIVIDEND,0.1525,,,,"{""amount"":0.1525,""date"":1088170200}"
IWM,1096032600,2004-09-24T13:30:00+00:00,2004-09-24,IN_SCOPE,DIVIDEND,0.1325,,,,"{""amount"":0.1325,""date"":1096032600}"
IWM,1103812200,2004-12-23T14:30:00+00:00,2004-12-23,IN_SCOPE,DIVIDEND,0.2055,,,,"{""amount"":0.2055,""date"":1103812200}"
IWM,1111674600,2005-03-24T14:30:00+00:00,2005-03-24,IN_SCOPE,DIVIDEND,0.274,,,,"{""amount"":0.274,""date"":1111674600}"
IWM,1118323800,2005-06-09T13:30:00+00:00,2005-06-09,IN_SCOPE,STOCK_SPLIT,,2.0,1.0,2:1,"{""date"":1118323800,""numerator"":2.0,""denominator"":1.0,""splitRatio"":""2:1""}"
IWM,1119274200,2005-06-20T13:30:00+00:00,2005-06-20,IN_SCOPE,DIVIDEND,0.146,,,,"{""amount"":0.146,""date"":1119274200}"
IWM,1127482200,2005-09-23T13:30:00+00:00,2005-09-23,IN_SCOPE,DIVIDEND,0.198,,,,"{""amount"":0.198,""date"":1127482200}"
IWM,1135261800,2005-12-22T14:30:00+00:00,2005-12-22,IN_SCOPE,DIVIDEND,0.261,,,,"{""amount"":0.261,""date"":1135261800}"
IWM,1143210600,2006-03-24T14:30:00+00:00,2006-03-24,IN_SCOPE,DIVIDEND,0.169,,,,"{""amount"":0.169,""date"":1143210600}"
IWM,1150983000,2006-06-22T13:30:00+00:00,2006-06-22,IN_SCOPE,DIVIDEND,0.105,,,,"{""amount"":0.105,""date"":1150983000}"
IWM,1159277400,2006-09-26T13:30:00+00:00,2006-09-26,IN_SCOPE,DIVIDEND,0.231,,,,"{""amount"":0.231,""date"":1159277400}"
IWM,1166625000,2006-12-20T14:30:00+00:00,2006-12-20,IN_SCOPE,DIVIDEND,0.329,,,,"{""amount"":0.329,""date"":1166625000}"
IWM,1174656600,2007-03-23T13:30:00+00:00,2007-03-23,IN_SCOPE,DIVIDEND,0.154,,,,"{""amount"":0.154,""date"":1174656600}"
IWM,1183037400,2007-06-28T13:30:00+00:00,2007-06-28,IN_SCOPE,DIVIDEND,0.159,,,,"{""amount"":0.159,""date"":1183037400}"
IWM,1190727000,2007-09-25T13:30:00+00:00,2007-09-25,IN_SCOPE,DIVIDEND,0.195,,,,"{""amount"":0.195,""date"":1190727000}"
IWM,1198765800,2007-12-27T14:30:00+00:00,2007-12-27,IN_SCOPE,DIVIDEND,0.267,,,,"{""amount"":0.267,""date"":1198765800}"
IWM,1206365400,2008-03-24T13:30:00+00:00,2008-03-24,IN_SCOPE,DIVIDEND,0.11,,,,"{""amount"":0.11,""date"":1206365400}"
IWM,1215005400,2008-07-02T13:30:00+00:00,2008-07-02,IN_SCOPE,DIVIDEND,0.257,,,,"{""amount"":0.257,""date"":1215005400}"
IWM,1222263000,2008-09-24T13:30:00+00:00,2008-09-24,IN_SCOPE,DIVIDEND,0.15,,,,"{""amount"":0.15,""date"":1222263000}"
IWM,1230042600,2008-12-23T14:30:00+00:00,2008-12-23,IN_SCOPE,DIVIDEND,0.361,,,,"{""amount"":0.361,""date"":1230042600}"
IWM,1237901400,2009-03-24T13:30:00+00:00,2009-03-24,IN_SCOPE,DIVIDEND,0.141,,,,"{""amount"":0.141,""date"":1237901400}"
IWM,1246541400,2009-07-02T13:30:00+00:00,2009-07-02,IN_SCOPE,DIVIDEND,0.181,,,,"{""amount"":0.181,""date"":1246541400}"
IWM,1253626200,2009-09-22T13:30:00+00:00,2009-09-22,IN_SCOPE,DIVIDEND,0.145,,,,"{""amount"":0.145,""date"":1253626200}"
IWM,1261578600,2009-12-23T14:30:00+00:00,2009-12-23,IN_SCOPE,DIVIDEND,0.253,,,,"{""amount"":0.253,""date"":1261578600}"
IWM,1269437400,2010-03-24T13:30:00+00:00,2010-03-24,IN_SCOPE,DIVIDEND,0.172,,,,"{""amount"":0.172,""date"":1269437400}"
IWM,1278077400,2010-07-02T13:30:00+00:00,2010-07-02,IN_SCOPE,DIVIDEND,0.199,,,,"{""amount"":0.199,""date"":1278077400}"
IWM,1285248600,2010-09-23T13:30:00+00:00,2010-09-23,IN_SCOPE,DIVIDEND,0.165,,,,"{""amount"":0.165,""date"":1285248600}"
IWM,1293028200,2010-12-22T14:30:00+00:00,2010-12-22,IN_SCOPE,DIVIDEND,0.357,,,,"{""amount"":0.357,""date"":1293028200}"
IWM,1300973400,2011-03-24T13:30:00+00:00,2011-03-24,IN_SCOPE,DIVIDEND,0.169,,,,"{""amount"":0.169,""date"":1300973400}"
IWM,1309872600,2011-07-05T13:30:00+00:00,2011-07-05,IN_SCOPE,DIVIDEND,0.252,,,,"{""amount"":0.252,""date"":1309872600}"
IWM,1316784600,2011-09-23T13:30:00+00:00,2011-09-23,IN_SCOPE,DIVIDEND,0.25,,,,"{""amount"":0.25,""date"":1316784600}"
IWM,1324564200,2011-12-22T14:30:00+00:00,2011-12-22,IN_SCOPE,DIVIDEND,0.36,,,,"{""amount"":0.36,""date"":1324564200}"
IWM,1332509400,2012-03-23T13:30:00+00:00,2012-03-23,IN_SCOPE,DIVIDEND,0.251,,,,"{""amount"":0.251,""date"":1332509400}"
IWM,1340717400,2012-06-26T13:30:00+00:00,2012-06-26,IN_SCOPE,DIVIDEND,0.377,,,,"{""amount"":0.377,""date"":1340717400}"
IWM,1348493400,2012-09-24T13:30:00+00:00,2012-09-24,IN_SCOPE,DIVIDEND,0.332,,,,"{""amount"":0.332,""date"":1348493400}"
IWM,1355927400,2012-12-19T14:30:00+00:00,2012-12-19,IN_SCOPE,DIVIDEND,0.727,,,,"{""amount"":0.727,""date"":1355927400}"
IWM,1364218200,2013-03-25T13:30:00+00:00,2013-03-25,IN_SCOPE,DIVIDEND,0.264,,,,"{""amount"":0.264,""date"":1364218200}"
IWM,1372771800,2013-07-02T13:30:00+00:00,2013-07-02,IN_SCOPE,DIVIDEND,0.43,,,,"{""amount"":0.43,""date"":1372771800}"
IWM,1380029400,2013-09-24T13:30:00+00:00,2013-09-24,IN_SCOPE,DIVIDEND,0.283,,,,"{""amount"":0.283,""date"":1380029400}"
IWM,1387809000,2013-12-23T14:30:00+00:00,2013-12-23,IN_SCOPE,DIVIDEND,0.437,,,,"{""amount"":0.437,""date"":1387809000}"
IWM,1395754200,2014-03-25T13:30:00+00:00,2014-03-25,IN_SCOPE,DIVIDEND,0.302,,,,"{""amount"":0.302,""date"":1395754200}"
IWM,1404307800,2014-07-02T13:30:00+00:00,2014-07-02,IN_SCOPE,DIVIDEND,0.459,,,,"{""amount"":0.459,""date"":1404307800}"
IWM,1411565400,2014-09-24T13:30:00+00:00,2014-09-24,IN_SCOPE,DIVIDEND,0.305,,,,"{""amount"":0.305,""date"":1411565400}"
IWM,1419431400,2014-12-24T14:30:00+00:00,2014-12-24,IN_SCOPE,DIVIDEND,0.445,,,,"{""amount"":0.445,""date"":1419431400}"
IWM,1427290200,2015-03-25T13:30:00+00:00,2015-03-25,IN_SCOPE,DIVIDEND,0.383,,,,"{""amount"":0.383,""date"":1427290200}"
IWM,1435843800,2015-07-02T13:30:00+00:00,2015-07-02,IN_SCOPE,DIVIDEND,0.529,,,,"{""amount"":0.529,""date"":1435843800}"
IWM,1443187800,2015-09-25T13:30:00+00:00,2015-09-25,IN_SCOPE,DIVIDEND,0.324,,,,"{""amount"":0.324,""date"":1443187800}"
IWM,1450967400,2015-12-24T14:30:00+00:00,2015-12-24,IN_SCOPE,DIVIDEND,0.496,,,,"{""amount"":0.496,""date"":1450967400}"
IWM,1458739800,2016-03-23T13:30:00+00:00,2016-03-23,IN_SCOPE,DIVIDEND,0.327,,,,"{""amount"":0.327,""date"":1458739800}"
IWM,1467811800,2016-07-06T13:30:00+00:00,2016-07-06,IN_SCOPE,DIVIDEND,0.621,,,,"{""amount"":0.621,""date"":1467811800}"
IWM,1474896600,2016-09-26T13:30:00+00:00,2016-09-26,IN_SCOPE,DIVIDEND,0.344,,,,"{""amount"":0.344,""date"":1474896600}"
IWM,1482417000,2016-12-22T14:30:00+00:00,2016-12-22,IN_SCOPE,DIVIDEND,0.563,,,,"{""amount"":0.563,""date"":1482417000}"
DIA,1042813800,2003-01-17T14:30:00+00:00,2003-01-17,IN_SCOPE,DIVIDEND,0.059,,,,"{""amount"":0.059,""date"":1042813800}"
DIA,1045837800,2003-02-21T14:30:00+00:00,2003-02-21,IN_SCOPE,DIVIDEND,0.249,,,,"{""amount"":0.249,""date"":1045837800}"
DIA,1048257000,2003-03-21T14:30:00+00:00,2003-03-21,IN_SCOPE,DIVIDEND,0.104,,,,"{""amount"":0.104,""date"":1048257000}"
DIA,1050586200,2003-04-17T13:30:00+00:00,2003-04-17,IN_SCOPE,DIVIDEND,0.108,,,,"{""amount"":0.108,""date"":1050586200}"
DIA,1053091800,2003-05-16T13:30:00+00:00,2003-05-16,IN_SCOPE,DIVIDEND,0.133,,,,"{""amount"":0.133,""date"":1053091800}"
DIA,1056115800,2003-06-20T13:30:00+00:00,2003-06-20,IN_SCOPE,DIVIDEND,0.243,,,,"{""amount"":0.243,""date"":1056115800}"
