session_date,Trade Volume,Trade Value,Transaction,Opening Price,Highest Price,Lowest Price,Closing Price,Change,Mark,classification,classification_evidence
2017-02-20,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-04-05,105,"4,830",2,--,--,--,--, 0.00,,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,"official volume is below the 1,000-unit regular trading unit; activity exists but official regular OHLC remains '--'"
2017-06-01,75,"3,472",1,--,--,--,--, 0.00,,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,"official volume is below the 1,000-unit regular trading unit; activity exists but official regular OHLC remains '--'"
2017-06-03,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-07-20,1,49,1,--,--,--,--, 0.00,,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,"official volume is below the 1,000-unit regular trading unit; activity exists but official regular OHLC remains '--'"
2017-08-04,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-08-14,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-08-24,1,44,1,--,--,--,--, 0.00,,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,"official volume is below the 1,000-unit regular trading unit; activity exists but official regular OHLC remains '--'"
2017-09-28,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-09-29,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-10-02,98,"4,953",1,--,--,--,--, 0.00,,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,"official volume is below the 1,000-unit regular trading unit; activity exists but official regular OHLC remains '--'"
2017-10-05,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-11-01,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-11-09,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2017-11-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2018-01-12,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
